RECORD,CLASS
"this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there . ",positive
"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results . ",positive
"a gentle , compassionate drama about grief and healing . ",positive
"somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes . ",positive
digital-video documentary about stand-up comedians is a great glimpse into a very different world . ,positive
"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity . ",positive
"an enthralling , playful film that constantly frustrates our desire to know the 'truth' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to . ",positive
" "" extreme ops "" exceeds expectations . good fun , good action , good acting , good dialogue , good pace , good cinematography . ",positive
you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . ,positive
"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences . ",positive
"it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world . ",positive
"run , don't walk , to see this barbed and bracing comedy on the big screen . ",positive
a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done . ,positive
"it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale . ",positive
"it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru . ",positive
"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space . ",positive
"merely as a technical , logistical feat , russian ark marks a cinematic milestone . ",positive
"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists . ",positive
it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . ,positive
an original gem about an obsession with time . ,positive
it will delight newcomers to the story and those who know it from bygone days . ,positive
gloriously goofy ( and gory ) midnight movie stuff . ,positive
the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity . ,positive
"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . ",positive
"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene . ",positive
it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times . ,positive
"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten . ",positive
"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism . ",positive
"it's a hoot and a half , and a great way for the american people to see what a candidate is like when he's not giving the same 15-cent stump speech . ",positive
"far from perfect , but its heart is in the right place . . . innocent and well-meaning . ",positive
"a sad , superior human comedy played out on the back roads of life . ",positive
"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality . ",positive
"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy . ",positive
"more a load of enjoyable , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent . ",positive
"enormously likable , partly because it is aware of its own grasp of the absurd . ",positive
"here's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you . ",positive
"it's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh . ",positive
must be seen to be believed . ,positive
"ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here . ",positive
"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true . ",positive
"sweet home alabama "" is what it is â€“ a nice , harmless date film . . . ",positive
"the year's happiest surprise , a movie that deals with a real subject in an always surprising way . ",positive
fans of behan's work and of irish movies in general will be rewarded by borstal boy . ,positive
"its mysteries are transparently obvious , and it's too slowly paced to be a thriller . [but it's] worth recommending because of two marvelous performances by michael caine and brendan fraser . ",positive
"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are . ",positive
stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens . ,positive
a solidly seaworthy chiller . ,positive
"if you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else . ",positive
"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it's a welcome return to the roots of a genre that should depend on surprises . ",positive
a well-made thriller with a certain level of intelligence and non-reactionary morality . ,positive
"there's enough science to make it count as educational , and enough beauty to make it unforgettable . ",positive
"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand . ",positive
makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran's borderlands . ,positive
"for a good chunk of its running time , trapped is an effective and claustrophobic thriller . ",positive
most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness . ,positive
nair does capture the complexity of a big family and its trials and tribulations . . . ,positive
"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going . ",positive
rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie . ,positive
ranks among willams' best screen work . ,positive
engagingly captures the maddening and magnetic ebb and flow of friendship . ,positive
an experience so engrossing it is like being buried in a new environment . ,positive
"it's traditional moviemaking all the way , but it's done with a lot of careful period attention as well as some very welcome wit . ",positive
thoroughly enjoyable . ,positive
"maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that bad . ",positive
"a droll , well-acted , character-driven comedy with unexpected deposits of feeling . ",positive
this is simply the most fun you'll ever have with a documentary ! ,positive
a very funny movie . ,positive
"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting . ",positive
a cop story that understands the medium amazingly well . ,positive
"one of the best , most understated performances of [jack nicholson's] career . ",positive
"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway . ",positive
those outside show business will enjoy a close look at people they don't really want to know . ,positive
the kind of nervous film that will either give you a mild headache or exhilarate you . ,positive
watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it . ,positive
"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted . ",positive
a fascinating and fun film . ,positive
"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure . ",positive
"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . ",positive
i admired this work a lot . ,positive
"whether you're moved and love it , or bored or frustrated by the film , you'll still feel something . ",positive
 . . . there are enough moments of heartbreaking honesty to keep one glued to the screen . ,positive
"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back . ",positive
"a smart , sweet and playful romantic comedy . ",positive
australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation . ,positive
the mushy finale turns john q into a movie-of-the-week tearjerker . ,negative
"content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance . ",negative
"the movie turns out to be [assayas'] homage to the gallic 'tradition of quality , ' in all its fusty squareness . ",negative
"its message has merit and , in the hands of a brutally honest individual like prophet jack , might have made a point or two regarding life . ",negative
[seems] even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels . ,negative
it's hard to imagine that even very small children will be impressed by this tired retread . ,negative
"neither as scary-funny as tremors nor demented-funny as starship troopers , the movie isn't tough to take as long as you've paid a matinee price . ",negative
"if swimfan does catch on , it may be because teens are looking for something to make them laugh . ",negative
what might've been an exhilarating exploration of an odd love triangle becomes a sprawl of uncoordinated vectors . ,negative
"the master of disguise may have made a great saturday night live sketch , but a great movie it is not . ",negative
it's quite an achievement to set and shoot a movie at the cannes film festival and yet fail to capture its visual appeal or its atmosphere . ,negative
"boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect . ",negative
"it's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic . unfortunately , that's precisely what arthur dong's family fundamentals does . ",negative
has the marks of a septuagenarian ; it's a crusty treatment of a clever gimmick . ,negative
"like a medium-grade network sitcom--mostly inoffensive , fitfully amusing , but ultimately so weightless that a decent draft in the auditorium might blow it off the screen . ",negative
something must have been lost in the translation . ,negative
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring . ,negative
"in the end , the film feels homogenized and a bit contrived , as if we're looking back at a tattered and ugly past with rose-tinted glasses . ",negative
chan's stunts are limited and so embellished by editing that there's really not much of a sense of action or even action-comedy . ,negative
"rock's stand-up magic wanes . hopkins , squarely fills the screen . action - mechanical . ",negative
" "" the tuxedo "" should have been the vehicle for chan that "" the mask "" was for jim carrey . alas , it's the man that makes the clothes . ",negative
"for casual moviegoers who stumble into rules expecting a slice of american pie hijinks starring the kid from dawson's creek , they'll probably run out screaming . ",negative
"the biggest problem i have ( other than the very sluggish pace ) is we never really see her esther blossom as an actress , even though her talent is supposed to be growing . ",negative
what puzzles me is the lack of emphasis on music in britney spears' first movie . ,negative
"plot , characters , drama , emotions , ideas -- all are irrelevant to the experience of seeing the scorpion king . ",negative
city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for . but how it washed out despite all of that is the project's prime mystery . ,negative
"whatever the movie's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ",negative
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely . ",negative
there ain't a lot more painful than an unfunny movie that thinks it's hilarious . ,negative
"i enjoyed the movie in a superficial way , while never sure what its purpose was . ",negative
what a pity . . . that the material is so second-rate . ,negative
"doesn't deliver a great story , nor is the action as gripping as in past seagal films . ",negative
the kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea . ,negative
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy . ",negative
nothing about the film -- with the possible exception of elizabeth hurley's breasts -- is authentic . ,negative
"amid the cliché and foreshadowing , cage manages a degree of casual realism . . . that is routinely dynamited by blethyn . ",negative
"mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor . ",negative
no cliche escapes the perfervid treatment of gang warfare called ces wild . ,negative
"eddie murphy and owen wilson have a cute partnership in i spy , but the movie around them is so often nearly nothing that their charm doesn't do a load of good . ",negative
strictly a 'guy's film' in the worst sense of the expression . ,negative
"there's some good material in their story about a retail clerk wanting more out of life , but the movie too often spins its wheels with familiar situations and repetitive scenes . ",negative
"it's a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix's . ",negative
there's something fishy about a seasonal holiday kids' movie . . . that derives its moment of most convincing emotional gravity from a scene where santa gives gifts to grownups . ,negative
"we're left with a story that tries to grab us , only to keep letting go at all the wrong moments . ",negative
"like many such biographical melodramas , it suffers from the awkwardness that results from adhering to the messiness of true stories . ",negative
there is nothing redeeming about this movie . ,negative
"the film has [its] moments , but they are few and far between . ",negative
a dreary indulgence . ,negative
"i was trying to decide what annoyed me most about god is great . . . i'm not , and then i realized that i just didn't care . ",negative
derailed by bad writing and possibly also by some of that extensive post-production reworking to aim the film at young males in the throes of their first full flush of testosterone . ,negative
deserves high marks for political courage but barely gets by on its artistic merits . ,negative
 . . . comes alive only when it switches gears to the sentimental . ,negative
brosnan's finest non-bondish performance yet fails to overcome the film's manipulative sentimentality and annoying stereotypes . ,negative
"a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness is ultimately thoughtful without having much dramatic impact . ",negative
"to me , it sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",negative
tsai may be ploughing the same furrow once too often . ,negative
"flashy gadgets and whirling fight sequences may look cool , but they can't distract from the flawed support structure holding equilibrium up . ",negative
zigzag might have been richer and more observant if it were less densely plotted . ,negative
[a] crushing disappointment . ,negative
"how can such a cold movie claim to express warmth and longing ? in truth , it has all the heart of a porno flick ( but none of the sheer lust ) . ",negative
nicks and steinberg match their own creations for pure venality -- that's giving it the old college try . ,negative
episode ii-- attack of the clones is a technological exercise that lacks juice and delight . ,negative
the problem with all of this : it's not really funny . ,negative
[denis'] bare-bones narrative more closely resembles an outline for a '70s exploitation picture than the finished product . ,negative
"wanders all over the map thematically and stylistically , and borrows heavily from lynch , jeunet , and von trier while failing to find a spark of its own . ",negative
viewing this underdramatized but overstated film is like watching a transcript of a therapy session brought to humdrum life by some freudian puppet . ,negative
overall tomfoolery like this is a matter of taste . ,negative
the mantra behind the project seems to have been 'it's just a kids' flick . ' translation : 'we don't need to try very hard . ',negative
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant . ",negative
"it takes a really long , slow and dreary time to dope out what tuck everlasting is about . so here it is : it's about a family of sour immortals . ",negative
an essentially awkward version of the lightweight female empowerment picture we've been watching for decades,negative
the author's devotees will probably find it fascinating ; others may find it baffling . ,negative
"writer-director walter hill and co-writer david giler try to create characters out of the obvious cliches , but wind up using them as punching bags . ",negative
"there's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . ",negative
a cockeyed shot all the way . ,negative
"lush and beautifully photographed ( somebody suggested the stills might make a nice coffee table book ) , but ultimately you'll leave the theater wondering why these people mattered . ",negative
"unfortunately , one hour photo lives down to its title . thanks largely to williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film . ",negative
"cold , sterile and lacking any color or warmth . ",negative
the film is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold . ,negative
seems like someone going through the motions . ,negative
"for a film about explosions and death and spies , "" ballistic : ecks vs . sever "" seems as safe as a children's film . well , in some of those , the mother deer even dies . ",negative
"wallace gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too much for our taste . ",negative
"impostor doesn't do much with its template , despite a remarkably strong cast . ",negative
"wraps itself in the guise of a dark and quirky comedy , but it isn't as quirky as it thinks it is and its comedy is generally mean-spirited . ",negative
"choppy , overlong documentary about 'the lifestyle . '",negative
one sloughs one's way through the mire of this alleged psychological thriller in search of purpose or even a plot . ,negative
"a film which presses familiar herzog tropes into the service of a limpid and conventional historical fiction , when really what we demand of the director is to be mesmerised . ",negative
it's a fanboy 'what if ? ' brought to life on the big screen . ,negative
the story itself is actually quite vapid . ,negative
"it's a hellish , numbing experience to watch , and it doesn't offer any insights that haven't been thoroughly debated in the media already , back in the dahmer heyday of the mid-'90s . ",negative
wait for pay per view or rental but don't dismiss barbershop out of hand . ,negative
"a few zingers aside , the writing is indifferent , and jordan brady's direction is prosaic . ",negative
"each scene drags , underscoring the obvious , and sentiment is slathered on top . ",negative
"would've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film's predictable denouement . then nadia's birthday might not have been such a bad day after all . ",negative
"one of those staggeringly well-produced , joylessly extravagant pictures that keep whooshing you from one visual marvel to the next , hastily , emptily . ",negative
"nair just doesn't have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy . ",negative
"enthusiastically taking up the current teen movie concern with bodily functions , walt becker's film pushes all the demographically appropriate comic buttons . ",negative
it's the funniest american comedy since graffiti bridge . ,negative
"that neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks . ",negative
what starts off as a possible argentine american beauty reeks like a room stacked with pungent flowers . ,negative
the project's filmmakers forgot to include anything even halfway scary as they poorly rejigger fatal attraction into a high school setting . ,negative
"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast . ",negative
solondz may well be the only one laughing at his own joke,negative
"stitch is a bad mannered , ugly and destructive little * * * * . no cute factor here… . not that i mind ugly ; the problem is he has no character , loveable or otherwise . ",negative
"deep down , i realized the harsh reality of my situation : i would leave the theater with a lower i . q . than when i had entered . ",negative
a really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film . ,negative
"aside from the fact that the film idiotically uses the website feardotcom . com or the improperly hammy performance from poor stephen rea , the film gets added disdain for the fact that it is nearly impossible to look at or understand . ",negative
"it is bad , but certainly not without merit as entertainment . ",negative
"for its 100 minutes running time , you'll wait in vain for a movie to happen . ",negative
a work that lacks both a purpose and a strong pulse . ,negative
a faster paced family flick . upper teens may get cynical . smaller numbered kidlets will enjoy . ,negative
"while this film has an 'a' list cast and some strong supporting players , the tale -- like its central figure , vivi -- is just a little bit hard to love . ",negative
it's a road-trip drama with too many wrong turns . ,negative
"most fish stories are a little peculiar , but this is one that should be thrown back in the river . ",negative
"it's all gratuitous before long , as if schwentke were fulfilling a gross-out quota for an anticipated audience demographic instead of shaping the material to fit the story . ",negative
" "" i blame all men for war , "" [the warden's daughter] tells her father . the movie is about as deep as that sentiment . ",negative
it's fitfully funny but never really takes off . ,negative
"i've seen some bad singer-turned actors , but lil bow wow takes the cake . ",negative
"by halfway through this picture i was beginning to hate it , and , of course , feeling guilty for it . . . . then , miracle of miracles , the movie does a flip-flop . ",negative
"for all the complications , it's all surprisingly predictable . ",negative
it's been 20 years since 48 hrs . made eddie murphy a movie star and the man hasn't aged a day . but his showboating wise-cracker stock persona sure is getting old . ,negative
"if deuces wild had been tweaked up a notch it would have become a camp adventure , one of those movies that's so bad it starts to become good . but it wasn't . ",negative
"for a film about action , ultimate x is the gabbiest giant-screen movie ever , bogging down in a barrage of hype . ",negative
" . . . a low rate annie featuring some kid who can't act , only echoes of jordan , and weirdo actor crispin glover screwing things up old school . ",negative
"it might not be 1970s animation , but everything else about it is straight from the saturday morning cartoons – a retread story , bad writing , and the same old silliness . ",negative
"the picture seems uncertain whether it wants to be an acidic all-male all about eve or a lush , swooning melodrama in the intermezzo strain . ",negative
tends to plod . ,negative
"a nearly 21/2 hours , the film is way too indulgent . ",negative
gorgeous to look at but insufferably tedious and turgid . . . a curiously constricted epic . ,negative
it looks much more like a cartoon in the end than the simpsons ever has . ,negative
"with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , personal velocity seems to be idling in neutral . ",negative
doesn't really add up to much . ,negative
